seed,n_train,n_test,n_local_train,n_users,score_name,score,time,id_user,n_local_iterations,policy,data_name,network_topology,type_sequence,BN_Structure
10,15,45,15,7,global,-0.4947527377421537,59,2,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4931230734611576,59,2,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,59,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5053580680562463,60,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5005665222446293,60,3,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.4888595596896822,60,3,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,60,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3882322873663399,61,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5025746182942737,61,4,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5178186416397558,61,4,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,61,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.3876888651017885,62,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5310354110401054,62,5,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.577468791578468,62,5,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,62,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.34417729955530324,63,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.505227021738491,63,6,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5274464512229338,63,6,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,63,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5468173061313423,64,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.493064630845995,64,0,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.49300437801035496,64,0,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,64,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.5830665003656006,65,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,global,-0.5286436137417942,65,1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,test,-0.5165070353727532,65,1,1,info,data/iris.csv,Given,Given,NB
10,105,105,105,7,ML,-0.4838251827750923,65,-1,1,info,data/iris.csv,Given,Given,NB
10,15,45,15,7,local,-0.46166237957250716,66,2,1,info,data/iris.csv,Given,Given,NB
